image_id,asset_id,category,title,date_registered,mapping_method,record_path,archived_image,watermarked_image,original_image_sha256,watermarked_image_sha256,metadata_sha256
H1,h1,Unknown,DT7195,2026-07-06T08:16:22.798589+00:00,explicit_id,D:\Projects\Chords\trustheritage\data\records\h1.json,D:\Projects\Chords\trustheritage\data\archived_images\h1.png,D:\Projects\Chords\trustheritage\data\watermarked_images\h1_watermarked.png,ce580e77346eb589a80ea759643c570ab36ce80feb29ed7899334384ba2bf88d,88d27e2fa86e11d041b0c2d38e7c5d8970bb43c765777aad4955f235e435e018,228dd02b7e54082f6ab963b5d26ccedb52c3b8643c69eb5476f59c0091729c25
H2,h2,Unknown,DT133,2026-07-06T08:16:22.934402+00:00,explicit_id,D:\Projects\Chords\trustheritage\data\records\h2.json,D:\Projects\Chords\trustheritage\data\archived_images\h2.png,D:\Projects\Chords\trustheritage\data\watermarked_images\h2_watermarked.png,0d2126d4932917e76f05eaa84b96cf8d34c8b252d96e821994fb8fa0a4b9050c,ded5dce029bb424368935b02a3262e32330e0706e76c38a9cfeb6ab017c787d2,f34512f1e3d515b63dc20843f010d99482d60a4ed4bf7baa54574b3a830b2b12
H3,h3,Unknown,DP-14201-003,2026-07-06T08:16:23.062420+00:00,explicit_id,D:\Projects\Chords\trustheritage\data\records\h3.json,D:\Projects\Chords\trustheritage\data\archived_images\h3.png,D:\Projects\Chords\trustheritage\data\watermarked_images\h3_watermarked.png,72c91f8d6d308707939b81a6a5a47d364f8d6e4dd7769e4b1b2010271a901fa0,15b46addf84645bb61f1381eb833413e41bb574f5315d4c85d7329a8aa570cab,f48e719f82de8ea53629ad6d9fdc03ae092de4d877680178ced49c843046a6c0
H4,h4,Unknown,DP233162,2026-07-06T08:16:23.217050+00:00,explicit_id,D:\Projects\Chords\trustheritage\data\records\h4.json,D:\Projects\Chords\trustheritage\data\archived_images\h4.png,D:\Projects\Chords\trustheritage\data\watermarked_images\h4_watermarked.png,a5aa763b2b2e9acc23dcd5c52af8441b10235d5606afa50f92883cf04d40e392,cef23c830fd5d303a57ed752b12b606b4aa29bbf7517392c821d4e6e7f42eb90,bc6a8555bf80d1cac1cbc54d4a000014e885619fd3748dcb774ff835b5d99e8c
H5,h5,Unknown,DP234672,2026-07-06T08:16:23.355067+00:00,explicit_id,D:\Projects\Chords\trustheritage\data\records\h5.json,D:\Projects\Chords\trustheritage\data\archived_images\h5.png,D:\Projects\Chords\trustheritage\data\watermarked_images\h5_watermarked.png,8dbbe2d65e0eee876180dd27876b48e7661c0343b34e3f9bd0adc459762f0991,090fe2fa82d4140267178971d1cb5aab2d8a666c6343155e0c9014dfda13a0d5,b66742eaf1634b4d946ab75f9e5f78e5a050d8514e74da638a5e52569f6a6738
