attack_family,attack_parameter,watermark_score_count,watermark_score_mean,watermark_score_standard_deviation,watermark_score_median,watermark_score_minimum,watermark_score_maximum,provenance_score_count,provenance_score_mean,provenance_score_standard_deviation,provenance_score_median,provenance_score_minimum,provenance_score_maximum,forensic_score_count,forensic_score_mean,forensic_score_standard_deviation,forensic_score_median,forensic_score_minimum,forensic_score_maximum,semantic_score_count,semantic_score_mean,semantic_score_standard_deviation,semantic_score_median,semantic_score_minimum,semantic_score_maximum,cosine_similarity_count,cosine_similarity_mean,cosine_similarity_standard_deviation,cosine_similarity_median,cosine_similarity_minimum,cosine_similarity_maximum,acs_count,acs_mean,acs_standard_deviation,acs_median,acs_minimum,acs_maximum,ssim_count,ssim_mean,ssim_standard_deviation,ssim_median,ssim_minimum,ssim_maximum,difference_score_count,difference_score_mean,difference_score_standard_deviation,difference_score_median,difference_score_minimum,difference_score_maximum,histogram_score_count,histogram_score_mean,histogram_score_standard_deviation,histogram_score_median,histogram_score_minimum,histogram_score_maximum,edge_score_count,edge_score_mean,edge_score_standard_deviation,edge_score_median,edge_score_minimum,edge_score_maximum,suspicious_region_ratio_count,suspicious_region_ratio_mean,suspicious_region_ratio_standard_deviation,suspicious_region_ratio_median,suspicious_region_ratio_minimum,suspicious_region_ratio_maximum,evidence_agreement_count,evidence_agreement_mean,evidence_agreement_standard_deviation,evidence_agreement_median,evidence_agreement_minimum,evidence_agreement_maximum,semantic_integrity_risk_count,semantic_integrity_risk_mean,semantic_integrity_risk_standard_deviation,semantic_integrity_risk_median,semantic_integrity_risk_minimum,semantic_integrity_risk_maximum
crop,10%_area_removed,4,0.535888671875,0.014645724575168882,0.5341796875,0.5205078125,0.5546875,4,0.0,0.0,0.0,0.0,0.0,4,0.953163437130436,0.01608079807731479,0.9538462855018865,0.9365534347847889,0.9684077427331822,4,0.9850394800305367,0.006531951363035273,0.9869243055582047,0.9756466150283813,0.990662693977356,4,0.9700789600610733,0.013063902726070546,0.9738486111164093,0.9512932300567627,0.9813253879547119,4,0.6201166994039982,0.007123920661527547,0.618233567383462,0.6144474311092255,0.6295522317398432,4,0.9366390765239653,0.03267698702278266,0.9442385554585337,0.8926303485422998,0.965448846636494,4,0.9704660892486572,0.006152930317163342,0.9698129653930665,0.9643754482269287,0.9778629779815674,4,0.9931391368875319,0.004248988096700307,0.9938196989547236,0.9873480782445527,0.9975690713961276,4,0.933923065662384,0.04197199690213566,0.9428814649581909,0.8787713050842285,0.9711580276489258,4,0.008486747741699219,0.012005974660860914,0.0030727386474609375,0.00135040283203125,0.02645111083984375,4,0.1519390672949617,0.006709183428235918,0.15021537499647875,0.1466532662059875,0.16067225298090185,4,0.16348771904129536,0.022444117782020608,0.16226988554000854,0.14334217356517912,0.1860689315199852
crop,25%_area_removed,4,0.4951171875,0.01060818407343771,0.49462890625,0.4833984375,0.5078125,4,0.0,0.0,0.0,0.0,0.0,4,0.9467140953055247,0.011105015158615174,0.9471141835617111,0.9362738657369858,0.9563541483616911,4,0.9752438589930534,0.005834658988315368,0.9765010178089142,0.9679794013500214,0.979993999004364,4,0.9504877179861069,0.011669317976630737,0.9530020356178284,0.9359588027000427,0.959987998008728,4,0.605695273634021,0.00217593852927858,0.6051168141875085,0.6039296910837222,0.6086177750773446,4,0.9312404528573512,0.028515143883216073,0.9400666219536704,0.8917556594376438,0.9530729080844205,4,0.9566648602485657,0.02387017149770044,0.9665810108184815,0.9211245536804199,0.9723728656768799,4,0.9895329537784474,0.0050488553098188334,0.9902147626985768,0.9838656396433592,0.993836650073277,4,0.9337315559387207,0.030794246414762777,0.928472638130188,0.907090425491333,0.9708905220031738,4,0.014768600463867188,0.015411980148194322,0.013383865356445312,0.00031280517578125,0.031993865966796875,4,0.15371519093409064,0.004371117006147583,0.15440382529427787,0.14776237952153268,0.15829073362627422,4,0.15961592028848826,0.02099826754742568,0.16501026293262838,0.132310651242733,0.17613250404596326
crop,50%_area_removed,4,0.48388671875,0.0068359375,0.4833984375,0.4765625,0.4921875,4,0.0,0.0,0.0,0.0,0.0,4,0.8500853762669962,0.06692586240196173,0.8736881901273472,0.7518799998034464,0.9010851250098437,4,0.9556718841195107,0.01143504944718201,0.9560447782278061,0.9435511827468872,0.9670467972755432,4,0.9113437682390213,0.02287009889436402,0.9120895564556122,0.8871023654937744,0.9340935945510864,4,0.5776903201767525,0.015328419142072267,0.5839711827923724,0.5550233860347554,0.5877955290875095,4,0.8452011840871194,0.05849712396510258,0.8472969251663436,0.7734072681028031,0.9128036179129874,4,0.8395939469337463,0.12059684740987765,0.8774339199066161,0.6648290157318115,0.9386789321899414,4,0.83772450807661,0.1408597822266844,0.8380250890401015,0.6892450041356641,0.9856028500905728,4,0.8945845365524292,0.05580075082808799,0.889763355255127,0.8345842361450195,0.9642271995544434,4,0.054221153259277344,0.011755938669352702,0.049343109130859375,0.0464630126953125,0.07173538208007812,4,0.18804396601048598,0.02042482830641287,0.17888922810249597,0.17584478013828184,0.21855262769867015,4,0.22717848939821128,0.04582410059486817,0.23019070964306598,0.17882996208965776,0.26950257621705537
jpeg,25,4,0.492919921875,0.007663579014969761,0.49658203125,0.4814453125,0.4970703125,4,0.0,0.0,0.0,0.0,0.0,4,0.9132437984618665,0.012979296545907635,0.9131040304607165,0.900877562040403,0.92588957088563,4,0.9474988803267479,0.01377822154444618,0.9497566968202591,0.929764449596405,0.9607176780700684,4,0.8949977606534958,0.02755644308889236,0.8995133936405182,0.8595288991928101,0.9214353561401367,4,0.5901284042591477,0.0017638432576308858,0.5901905713085014,0.5881306865560475,0.5920017878635404,4,0.8823005751562917,0.012281803956031945,0.8869119667669911,0.8641832684816589,0.8911950986095256,4,0.954456901550293,0.009252269128750741,0.954856777191162,0.9435525894165039,0.9645614624023438,4,0.9725414199076492,0.01900716301856274,0.9795168612664538,0.9447502838608031,0.986381673236886,4,0.8780873417854309,0.08178850385473037,0.871493935585022,0.7996261119842529,0.9697353839874268,4,0.008126258850097656,0.005699533363330632,0.00894927978515625,0.001331329345703125,0.013275146484375,4,0.17386471174247736,0.002337401315200264,0.17395110914158216,0.171276257297274,0.1762803713894712,4,0.18521202325820924,0.040701670231751794,0.19244994640350344,0.1349058198928833,0.2210423803329468
jpeg,50,4,0.566650390625,0.04175589861288734,0.5625,0.529296875,0.6123046875,4,0.0,0.0,0.0,0.0,0.0,4,0.9306370782587663,0.005699938161590592,0.9288153724376975,0.9259821353614378,0.9389354327982322,4,0.9582111239433289,0.0104827476436794,0.9588268101215363,0.9454742074012756,0.9697166681289673,4,0.9164222478866577,0.0209654952873588,0.9176536202430725,0.8909484148025513,0.9394333362579346,4,0.6152533504910019,0.012634698916018181,0.6133830911708444,0.6045703652626805,0.6296768543596383,4,0.9029536557792137,0.019443567271118994,0.9095898414176415,0.874812290947447,0.9178226493341249,4,0.9619013667106628,0.005597472799356148,0.9627912044525146,0.9548311233520508,0.9671919345855713,4,0.9844428877462316,0.014632457856355072,0.9912609724208572,0.9625191239045205,0.9927304822386913,4,0.9077743887901306,0.054818353329026265,0.9053455591201782,0.8535041809082031,0.9669022560119629,4,0.0033159255981445312,0.0010115273613662441,0.0036773681640625,0.0018310546875,0.004077911376953125,4,0.16955567406814892,0.0010367578553374824,0.16959850814179556,0.1682507371725244,0.17077494281648026,4,0.17007626426406205,0.03417323629944164,0.1783110695332289,0.12634037364274264,0.19734254434704782
jpeg,75,5,0.9640625,0.02306218043160199,0.962890625,0.935546875,0.9951171875,5,0.0,0.0,0.0,0.0,0.0,5,0.971939785518269,0.005175860645291539,0.9737785056884971,0.9654129126937068,0.977767249374961,5,0.9694815218448639,0.007216252497966098,0.9674414694309235,0.9623564183712006,0.9812161922454834,5,0.9389630436897278,0.014432504995932197,0.9348829388618469,0.9247128367424011,0.9624323844909668,5,0.726248038657113,0.005143325810214172,0.7251914599668162,0.7213341589623864,0.7340147194193625,5,0.971921118723953,0.0060409464853966935,0.973532358983717,0.9616990032871994,0.9766655840039576,5,0.9782313632965087,0.004286764207034412,0.9797406196594238,0.971722936630249,0.9822659492492676,5,0.9982005659447661,0.0023031442812629513,0.9991474622115233,0.9941269737073812,0.9995482631841763,5,0.9352490425109863,0.0319892957740476,0.9294636249542236,0.9021658897399902,0.978344202041626,5,0.000435638427734375,0.00022240699234570975,0.000518798828125,0.0001220703125,0.00069427490234375,5,0.12077032379361732,0.004760604505389952,0.12158782791679731,0.11381576707890187,0.12550590396740088,5,0.1734653302580118,0.030250268676084047,0.17687245443463326,0.12428632862865927,0.20027558743953702
jpeg,95,5,0.993359375,0.004998626520339737,0.994140625,0.9853515625,0.9990234375,5,0.0,0.0,0.0,0.0,0.0,5,0.9905029877444185,0.000999396488263581,0.9905634283718324,0.9894975244870134,0.9919655443014879,5,0.9821430325508118,0.00908793701831167,0.9870375990867615,0.9673004150390625,0.988616406917572,5,0.9642860651016235,0.01817587403662334,0.974075198173523,0.934600830078125,0.977232813835144,5,0.7410833510641273,0.0024764737111997817,0.741539417081388,0.7371183896220164,0.7434216499941626,5,0.9919054072877059,0.003573305963798365,0.9930304881276812,0.9856108613678025,0.9944530286141355,5,0.990517930984497,0.0012725556148416824,0.9911908626556396,0.9884490013122559,0.9915912628173829,5,0.9997087727778136,0.00018979525798183406,0.9996480514458492,0.9995281025503756,0.9999443546040025,5,0.9770650386810302,0.009375173938156747,0.9729211330413818,0.9688842296600342,0.9910142421722412,5,3.814697265625e-06,8.529922399520072e-06,0.0,0.0,1.9073486328125e-05,5,0.10778087091027791,0.0017054865795783415,0.10728573264520033,0.10605528210036833,0.11037323731606177,5,0.17124805350601674,0.03498430076015269,0.17851762011647224,0.11726510263979435,0.20329875409603118
patch,10%_center_area_blurred,5,0.946484375,0.0075454858484694754,0.94921875,0.93359375,0.9521484375,5,0.0,0.0,0.0,0.0,0.0,5,0.9577979578173835,0.02127521811788527,0.9506867356793686,0.939719130088721,0.9928668881767919,5,0.959463769197464,0.027384382391060138,0.9704525470733643,0.9180121123790741,0.986678957939148,5,0.918927538394928,0.054768764782120276,0.9409050941467285,0.8360242247581482,0.9733579158782959,5,0.7160198160727159,0.011680115261622954,0.7148583989133839,0.7006521472314664,0.7326141743921027,5,0.939911520374367,0.02817279068512569,0.9282122394602631,0.9170111635200819,0.9863986073410118,5,0.9742579078674316,0.012643800939151222,0.9688126564025878,0.9666321277618408,0.9967446327209473,5,0.9982364866999833,0.001575741966680826,0.9989619893535338,0.995701817843605,0.9994995422986435,5,0.9435854911804199,0.03846691566745099,0.9393856525421143,0.9001109600067139,0.9993798732757568,5,0.03852767944335937,0.021578311687295237,0.045307159423828125,0.0002593994140625,0.05118560791015625,5,0.12973348927751477,0.009993365371703858,0.13184222762030995,0.1148430583664965,0.14204070499924992,5,0.2908296355716884,0.059606762703348026,0.3014215544611215,0.1894538938812912,0.34083194717764853
patch,20%_center_area_blurred,4,0.90087890625,0.003429574789340084,0.90087890625,0.8974609375,0.904296875,4,0.0,0.0,0.0,0.0,0.0,4,0.9222775857612984,0.04157587096713088,0.9134669007607592,0.885215254796732,0.9769612867269434,4,0.9141159504652023,0.0322709046507111,0.9205034971237183,0.8710097074508667,0.9444471001625061,4,0.8282319009304047,0.0645418093014222,0.8410069942474365,0.7420194149017334,0.8888942003250122,4,0.6839100288543204,0.01763204646169375,0.6847965777267673,0.6627111975696064,0.7033357623941405,4,0.8877212174203581,0.05573583083567555,0.8771104138261019,0.83781762464224,0.9588464173869891,4,0.950351083278656,0.025999385343372254,0.9419312000274658,0.9292634487152099,0.9882784843444824,4,0.9947064291142971,0.0055154673557976895,0.9970136851237913,0.9865411557602044,0.9982571904494013,4,0.9067286849021912,0.07322036038499358,0.9059231281280518,0.823920488357544,0.9911479949951172,4,0.04591178894042969,0.029277851879229804,0.057521820068359375,0.00246429443359375,0.06613922119140625,4,0.15689115350696187,0.01614228684778714,0.15711155681477026,0.13805289028041262,0.1752886101178943,4,0.29817571431398393,0.08458034018264173,0.32255857385694975,0.17613287523388862,0.37145283430814746
patch,5%_center_area_blurred,4,0.97119140625,0.002032876952603645,0.97119140625,0.96875,0.9736328125,4,0.0,0.0,0.0,0.0,0.0,4,0.9813281819118006,0.011013830934493948,0.9790899279082725,0.9705509425088834,0.9965819293217739,4,0.9864467680454254,0.006899675604121587,0.9841910898685455,0.9811637103557587,0.9962411820888519,4,0.9728935360908508,0.013799351208243174,0.9683821797370911,0.9623274207115173,0.9924823641777039,4,0.7349975183584877,0.0038993468241486796,0.7342393750422181,0.7311350828585043,0.7403762404910104,4,0.9735701908340091,0.014278232319098362,0.9702809180124556,0.960185112040833,0.9935338152702923,4,0.9895864486694336,0.005986726649980644,0.9872355699539184,0.9854168891906738,0.9984577655792236,4,0.9996679634130181,0.00038367859944964594,0.9998461584943695,0.9990934953245234,0.9998860413388098,4,0.9724985957145691,0.021273698232228817,0.9715410470962524,0.9475932121276855,0.9993190765380859,4,0.015167236328125,0.01053841494039975,0.017963409423828125,0.000156402587890625,0.024585723876953125,4,0.11361459423982175,0.0036405565478303675,0.1143182066194254,0.10857687701749455,0.11724508670294162,4,0.25525462815305217,0.04331609633773996,0.2569942119531333,0.2005249455105513,0.3065051431953907
