image_id,category,attack_family,attack_name,attack_parameter,suspect_path,watermark_score,provenance_score,exact_hash_match,forensic_score,semantic_score,cosine_similarity,acs,decision,ssim,difference_score,histogram_score,edge_score,suspicious_region_ratio,evidence_agreement,semantic_integrity_risk,alignment_method
H1,Unknown,control,control_exact,exact_byte_copy,research_experiments\H1\control\H1_control_exact.png,0.99609375,1.0,True,1.0,0.9996178150177002,0.9992356300354004,0.9989087820053101,Archive-consistent with low semantic risk,1.0,1.0,1.0,1.0,0.0,0.996712571556088,0.0,orb_homography
H1,Unknown,jpeg,jpeg_q95,95,research_experiments\H1\jpeg\H1_jpeg_q95.jpg,0.9931640625,0.0,False,0.9894390918415464,0.988616406917572,0.977232813835144,0.7427637560685809,Mixed archival consistency,0.9930250024325765,0.9884225845336914,0.9998725378609197,0.9699420928955078,0.0,0.10670696019080944,0.19407329857349398,orb_homography
H1,Unknown,jpeg,jpeg_q75,75,research_experiments\H1\jpeg\H1_jpeg_q75.jpg,0.935546875,0.0,False,0.9654069697727082,0.9812161922454834,0.9624323844909668,0.7213329703781867,Mixed archival consistency,0.9716461448783084,0.9716987133026123,0.9991281422362307,0.9024820327758789,0.000537872314453125,0.12550721473081777,0.19569453716278076,orb_homography
H1,Unknown,jpeg,jpeg_q50,50,research_experiments\H1\jpeg\H1_jpeg_q50.jpg,0.6123046875,0.0,False,0.9284548200321889,0.9697166681289673,0.9394333362579346,0.6296821363201279,Mixed archival consistency,0.9178174190058327,0.954833698272705,0.9911826343022379,0.8536744117736816,0.00408935546875,0.1682430553520166,0.19733000129461287,orb_homography
H1,Unknown,jpeg,jpeg_q25,25,research_experiments\H1\jpeg\H1_jpeg_q25.jpg,0.4814453125,0.0,False,0.9033922247011893,0.9607176780700684,0.9214353561401367,0.5892550764862583,Low technical consistency with limited semantic concentration,0.8911645660151387,0.9435409545898438,0.9761485654196658,0.8004043102264404,0.01323699951171875,0.17124572544385083,0.21530213713645935,orb_homography
H1,Unknown,crop,crop_10,10%_area_removed,research_experiments\H1\crop\H1_crop_10.png,0.529296875,0.0,False,0.965458059976098,0.9876480400562286,0.9752960801124573,0.6217102427620882,Mixed archival consistency,0.9654408583198375,0.9730526447296143,0.9936494009868944,0.9246606826782227,0.0033416748046875,0.14666615311000142,0.17882535457611085,orb_homography
H1,Unknown,crop,crop_25,25%_area_removed,research_experiments\H1\crop\H1_crop_25.png,0.5078125,0.0,False,0.9563575950248644,0.9679794013500214,0.9359588027000427,0.6086184644099792,Mixed archival consistency,0.9531291482416232,0.9677836894989014,0.9938347446112212,0.909522294998169,0.003326416015625,0.15440379572277166,0.17618568688631056,orb_homography
H1,Unknown,crop,crop_50,50%_area_removed,research_experiments\H1\crop\H1_crop_50.png,0.486328125,0.0,False,0.7519969305665164,0.9435511827468872,0.8871023654937744,0.5550467721873694,Low technical consistency with limited semantic concentration,0.7734194893455235,0.664918327331543,0.7495920305807009,0.8352651596069336,0.07170486450195312,0.21852707321819487,0.26942569257691507,orb_homography
H1,Unknown,resize,resize_050,scale_0.5;interpolation_INTER_LINEAR,research_experiments\H1\resize\H1_resize_050.png,0.4716796875,0.0,False,0.8936638888465116,0.9920588135719299,0.9841176271438599,0.5942703437158813,Low technical consistency with limited semantic concentration,0.8792687246976771,0.9369775295257569,0.9883300869639945,0.769993782043457,0.039966583251953125,0.1613761012039201,0.26239608198404313,orb_homography
H1,Unknown,resize,resize_075,scale_0.75;interpolation_INTER_LINEAR,research_experiments\H1\resize\H1_resize_075.png,0.490234375,0.0,False,0.9303976626880617,0.9923914670944214,0.9847829341888428,0.6063555664159388,Mixed archival consistency,0.9217587909910552,0.9548863887786865,0.9931957330118213,0.8527016639709473,0.01586151123046875,0.15228257532111478,0.2128976069390774,orb_homography
